,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
76,f,Beyoglu,Entire home/apt,8,1 bath,2.0,2.0,$952.00,2,760,,,,,,,f,1
77,f,Fatih,Private room,3,1.5 shared baths,1.0,2.0,$107.00,3,200,10.0,10.0,10.0,10.0,10.0,10.0,t,15
78,f,Fatih,Private room,3,1.5 shared baths,1.0,3.0,$89.00,2,1125,9.0,9.0,9.0,10.0,9.0,9.0,t,15
79,f,Sisli,Entire home/apt,5,1 bath,4.0,4.0,$362.00,2,365,9.0,9.0,10.0,10.0,10.0,9.0,f,4
80,t,Beyoglu,Entire home/apt,6,1.5 baths,2.0,3.0,$514.00,2,60,10.0,10.0,10.0,10.0,10.0,9.0,t,13
81,f,Sisli,Entire home/apt,2,1 bath,2.0,1.0,$402.00,2,365,10.0,10.0,10.0,10.0,10.0,10.0,f,1
82,f,Sisli,Private room,2,1 bath,1.0,1.0,$322.00,1,365,,,,,,,f,2
83,f,Fatih,Private room,3,1.5 shared baths,1.0,3.0,$89.00,2,100,9.0,9.0,10.0,10.0,9.0,9.0,t,15
84,f,Fatih,Entire home/apt,3,1 bath,3.0,3.0,$476.00,7,365,,,,,,,f,1
85,f,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,$266.00,3,800,9.0,10.0,10.0,10.0,10.0,9.0,f,12
86,f,Beyoglu,Entire home/apt,4,1.5 baths,1.0,1.0,"$1,618.00",30,365,,,,,,,f,2
87,f,Fatih,Shared room,3,2 shared baths,1.0,3.0,$80.00,2,300,9.0,9.0,9.0,9.0,9.0,9.0,t,15
88,f,Kadikoy,Entire home/apt,3,1 bath,1.0,2.0,$362.00,3,760,9.0,9.0,9.0,9.0,9.0,9.0,f,3
89,f,Kadikoy,Entire home/apt,5,1 bath,2.0,3.0,$619.00,3,760,9.0,8.0,9.0,9.0,9.0,9.0,f,3
90,f,Kadikoy,Entire home/apt,4,1 bath,1.0,2.0,$428.00,3,365,9.0,9.0,9.0,8.0,9.0,8.0,f,3
91,f,Kadikoy,Entire home/apt,4,1 bath,3.0,2.0,$806.00,4,15,,,,,,,t,2
92,t,Beyoglu,Entire home/apt,6,1.5 baths,3.0,4.0,"$1,434.00",2,365,10.0,9.0,10.0,10.0,10.0,9.0,t,3
93,f,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$714.00,7,10,,,,,,,f,1
94,t,Beyoglu,Entire home/apt,3,1 bath,2.0,2.0,$544.00,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,4
95,t,Beyoglu,Entire home/apt,3,1 bath,2.0,2.0,$544.00,6,1125,10.0,10.0,10.0,10.0,10.0,9.0,f,4
96,t,Beyoglu,Entire home/apt,3,1 bath,2.0,2.0,$536.00,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,4
97,t,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$483.00,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,4
98,f,Beyoglu,Entire home/apt,6,1 bath,2.0,2.0,$952.00,1,1125,9.0,9.0,9.0,9.0,9.0,9.0,f,1
99,f,Sisli,Private room,1,1 bath,1.0,1.0,$161.00,1,365,9.0,10.0,10.0,10.0,9.0,10.0,f,4
100,f,Sisli,Private room,2,1 shared bath,1.0,1.0,$190.00,2,365,9.0,9.0,9.0,9.0,9.0,9.0,f,4
101,f,Beyoglu,Entire home/apt,6,1 bath,2.0,2.0,$666.00,6,1125,,,,,,,f,3
102,f,Beyoglu,Entire home/apt,4,1 bath,2.0,2.0,$666.00,6,90,10.0,10.0,10.0,10.0,10.0,10.0,f,3
103,f,Bahcelievler,Entire home/apt,4,1 bath,2.0,3.0,$857.00,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,2
104,f,Sisli,Private room,1,,1.0,,$476.00,2,1125,,,,,,,f,1
105,f,Beyoglu,Entire home/apt,3,1.5 baths,1.0,1.0,"$1,903.00",1,1125,,,,,,,f,2
106,f,Adalar,Entire home/apt,6,1 bath,3.0,3.0,$770.00,1,365,10.0,9.0,10.0,10.0,9.0,9.0,f,1
107,f,Beyoglu,Entire home/apt,4,1.5 baths,2.0,2.0,$442.00,3,365,10.0,10.0,10.0,10.0,8.0,9.0,f,2
108,f,Sisli,Private room,1,1 shared bath,1.0,1.0,$177.00,2,12,10.0,10.0,10.0,10.0,10.0,10.0,f,1
109,f,Besiktas,Private room,1,1 shared bath,1.0,1.0,$187.00,3,100,10.0,10.0,10.0,10.0,10.0,10.0,t,1
110,f,Beyoglu,Entire home/apt,4,1.5 baths,1.0,4.0,"$1,513.00",2,180,9.0,10.0,10.0,10.0,10.0,8.0,f,15
111,f,Beyoglu,Entire home/apt,4,1.5 baths,1.0,4.0,"$1,903.00",2,180,,,,,,,f,15
112,f,Beyoglu,Private room,1,,1.0,,$856.00,2,1125,,,,,,,f,1
113,f,Besiktas,Private room,2,1 bath,1.0,1.0,$383.00,1,1125,,,,,,,f,1
114,f,Uskudar,Entire home/apt,1,,1.0,1.0,$333.00,1,21,,,,,,,f,1
115,f,Kadikoy,Entire home/apt,4,1 bath,2.0,4.0,"$1,200.00",6,60,9.0,9.0,10.0,10.0,10.0,10.0,f,1
116,t,Fatih,Entire home/apt,4,1 bath,1.0,3.0,"$1,418.00",1,1125,,,,,,,t,5
117,f,Beyoglu,Private room,2,,1.0,,$666.00,1,1125,,,,,,,f,1
118,f,Uskudar,Private room,1,1 bath,1.0,1.0,$385.00,1,15,,,,,,,f,2
119,f,Sisli,Entire home/apt,3,1 bath,1.0,2.0,"$1,142.00",2,90,10.0,10.0,10.0,10.0,9.0,9.0,t,1
120,f,Fatih,Private room,3,1.5 shared baths,1.0,2.0,$113.00,2,200,9.0,9.0,9.0,10.0,9.0,9.0,t,15
121,t,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,$400.00,2,364,9.0,9.0,9.0,9.0,9.0,9.0,f,3
122,f,Beyoglu,Private room,2,1 bath,1.0,2.0,"$1,047.00",1,1125,,,,,,,f,1
123,f,Uskudar,Private room,2,1 bath,1.0,1.0,$337.00,2,10,,,,,,,f,2
124,f,Sisli,Hotel room,6,2 baths,3.0,4.0,$966.00,10,150,10.0,8.0,10.0,10.0,10.0,10.0,t,1
125,f,Beyoglu,Private room,2,1 private bath,,1.0,$571.00,1,365,,,,,,,f,3
126,f,Beyoglu,Entire home/apt,2,1 bath,1.0,2.0,$571.00,30,730,,,,,,,f,1
127,t,Beyoglu,Entire home/apt,5,1 bath,1.0,2.0,$305.00,2,1125,10.0,10.0,10.0,10.0,10.0,9.0,t,9
128,t,Beyoglu,Entire home/apt,3,1 bath,,1.0,$307.00,2,1124,10.0,9.0,10.0,10.0,9.0,9.0,t,9
129,f,Beyoglu,Private room,1,1.5 shared baths,1.0,1.0,$86.00,1,30,10.0,10.0,10.0,10.0,10.0,10.0,t,8
130,f,Kadikoy,Private room,1,1 bath,1.0,1.0,$333.00,2,30,,,,,,,t,1
131,f,Beyoglu,Entire home/apt,6,2.5 baths,2.0,4.0,$523.00,60,365,9.0,9.0,10.0,10.0,10.0,9.0,f,1
132,f,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,$270.00,1,450,9.0,9.0,10.0,10.0,10.0,9.0,f,12
133,f,Adalar,Entire home/apt,5,1 bath,3.0,3.0,$674.00,2,1125,10.0,9.0,10.0,10.0,10.0,9.0,f,1
134,f,Besiktas,Private room,2,1 bath,1.0,1.0,"$1,563.00",1,1125,,,,,,,f,1
135,t,Sariyer,Private room,2,1.5 shared baths,1.0,1.0,$165.00,3,1125,10.0,10.0,10.0,10.0,9.0,10.0,f,2
136,f,Kadikoy,Entire home/apt,8,1 bath,3.0,4.0,$428.00,3,1125,9.0,7.0,9.0,9.0,10.0,9.0,f,2
137,f,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,$235.00,2,450,9.0,8.0,9.0,9.0,10.0,9.0,f,12
138,f,Sisli,Private room,2,1 bath,1.0,1.0,$448.00,3,14,10.0,10.0,10.0,10.0,10.0,10.0,f,1
139,f,Beyoglu,Entire home/apt,3,1 bath,1.0,2.0,"$9,506.00",4,1125,10.0,10.0,10.0,10.0,9.0,9.0,f,7
140,f,Besiktas,Entire home/apt,4,1 bath,2.0,3.0,$201.00,3,15,,,,,,,f,1
141,f,Beyoglu,Entire home/apt,6,1 bath,2.0,3.0,"$1,200.00",4,60,10.0,10.0,10.0,10.0,10.0,9.0,f,4
142,f,Beyoglu,Private room,1,1.5 shared baths,1.0,1.0,$143.00,2,99,7.0,8.0,9.0,8.0,9.0,8.0,t,8
143,t,Beyoglu,Entire home/apt,3,1 bath,,2.0,$285.00,3,30,10.0,10.0,10.0,10.0,10.0,10.0,t,3
144,f,Beyoglu,Entire home/apt,4,1 bath,1.0,2.0,$619.00,2,365,9.0,9.0,9.0,10.0,9.0,9.0,t,3
145,f,Beyoglu,Entire home/apt,5,1.5 baths,2.0,4.0,$818.00,3,365,9.0,9.0,9.0,10.0,10.0,9.0,f,7
146,f,Sisli,Private room,4,1 bath,1.0,4.0,$381.00,2,60,10.0,8.0,10.0,10.0,10.0,8.0,t,1
147,f,Beyoglu,Entire home/apt,3,1 bath,2.0,2.0,$190.00,5,1125,10.0,9.0,10.0,10.0,9.0,10.0,f,1
148,f,Beyoglu,Entire home/apt,5,1 bath,2.0,2.0,$942.00,5,1125,2.0,6.0,6.0,4.0,6.0,2.0,f,7
149,f,Sisli,Entire home/apt,4,1 bath,1.0,1.0,$476.00,1,1125,10.0,9.0,9.0,10.0,9.0,9.0,f,1
150,f,Sisli,Entire home/apt,4,1.5 baths,2.0,1.0,$177.00,3,1125,9.0,8.0,9.0,9.0,10.0,9.0,t,1
151,f,Fatih,Private room,4,1.5 shared baths,1.0,6.0,$113.00,2,200,9.0,8.0,9.0,10.0,9.0,9.0,t,15
152,f,Besiktas,Private room,6,1 shared bath,3.0,3.0,$326.00,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,f,2
153,t,Beyoglu,Entire home/apt,2,1 bath,1.0,1.0,$466.00,2,120,10.0,10.0,10.0,10.0,10.0,10.0,t,5
154,f,Basaksehir,Entire home/apt,4,1 bath,1.0,2.0,$799.00,6,1125,9.0,9.0,9.0,9.0,9.0,9.0,t,1
155,f,Sisli,Private room,1,1 shared bath,1.0,1.0,$190.00,2,1825,10.0,10.0,10.0,10.0,10.0,10.0,f,1
156,f,Besiktas,Entire home/apt,5,1 bath,1.0,3.0,"$1,127.00",3,30,,,,,,,f,7
157,f,Beyoglu,Entire home/apt,6,1 bath,2.0,4.0,"$1,427.00",1,1125,8.0,9.0,10.0,10.0,9.0,10.0,f,5
158,f,Sisli,Private room,2,1 shared bath,1.0,1.0,$218.00,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
159,f,Bagcilar,Entire home/apt,4,1 bath,1.0,1.0,$481.00,2,1125,8.0,10.0,10.0,10.0,8.0,10.0,f,1
160,f,Fatih,Private room,1,0 baths,1.0,1.0,$95.00,20,210,10.0,10.0,10.0,10.0,10.0,10.0,f,2
161,f,Fatih,Entire home/apt,5,,2.0,1.0,"$1,037.00",1,14,7.0,9.0,7.0,7.0,8.0,7.0,f,2
