,Unnamed: 0,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
14078,14078,0,2,2,3,2,1.0,3.0,80.0,1,3,5,5,5,5,5,5,0,2
14079,14079,0,3,2,2,4,1.0,0.0,238.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,3
14080,14080,0,3,4,12,1,1.0,14.0,80.0,1,1125,5,5,5,5,5,5,1,1
14081,14081,0,4,1,4,1,2.0,3.0,280.0,7,30,5,5,5,5,5,5,1,1
14082,14082,0,12,2,1,1,1.0,1.0,80.0,6,180,5,5,5,5,5,5,1,1
14083,14083,0,1,2,2,1,1.0,1.0,153.0,2,1125,8.0,8.0,8.0,8.0,8.0,8.0,0,1
14084,14084,0,3,1,4,1,1.0,1.0,428.0,1,30,10.0,10.0,10.0,10.0,10.0,10.0,1,1
14085,14085,1,26,1,4,2,2.0,4.0,265.0,3,24,10.0,9.0,10.0,10.0,10.0,10.0,0,1
14086,14086,0,2,1,4,2,2.0,2.0,2379.0,3,31,5,5,5,5,5,5,1,1
14087,14087,1,1,1,3,1,1.0,2.0,1075.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,5
14088,14088,0,14,2,4,1,1.0,1.0,80.0,2,28,5,5,5,5,5,5,0,1
14089,14089,0,24,2,1,1,1.0,1.0,164.0,2,365,5,5,5,5,5,5,0,1
14090,14090,0,1,1,3,1,1.0,2.0,308.0,1,1125,5,5,5,5,5,5,1,1
14091,14091,0,2,2,2,1,1.0,1.0,666.0,1,1125,5,5,5,5,5,5,1,1
14092,14092,1,1,1,6,1,3.0,4.0,571.0,2,1125,9.0,9.0,10.0,10.0,9.0,9.0,0,7
14093,14093,0,9,1,8,1,3.0,4.0,183.0,23,365,10.0,9.0,10.0,10.0,10.0,10.0,1,1
14094,14094,0,5,2,1,1,1.0,1.0,122.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,1
14095,14095,0,1,2,2,1,1.0,3.0,109.0,1,1125,10.0,10.0,10.0,10.0,10.0,8.0,1,2
14096,14096,0,7,1,4,1,2.0,2.0,180.0,1,1125,5,5,5,5,5,5,1,13
