,Unnamed: 0,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
0,0,0,5,1,3,1,2.0,2.0,965.0,365,900,9.0,9.0,10.0,10.0,10.0,9.0,0,2
1,1,0,1,1,2,1,1.0,1.0,289.0,30,90,10.0,9.0,10.0,10.0,10.0,10.0,0,1
2,2,0,11,1,2,1,2.0,2.0,1018.0,3,60,5,5,5,5,5,5,0,1
3,3,0,1,2,3,1,1.0,1.0,407.0,3,15,5,5,5,5,5,5,0,1
4,4,0,1,2,2,1,1.0,1.0,952.0,1,2,5,5,5,5,5,5,1,1
5,5,0,2,2,2,1,1.0,1.0,503.0,2,15,10.0,10.0,10.0,10.0,10.0,10.0,0,2
6,6,0,1,2,1,1,1.0,1.0,555.0,1,730,5,5,5,5,5,5,0,1
7,7,1,1,1,2,1,1.0,1.0,295.0,30,730,9.0,9.0,9.0,10.0,8.0,9.0,0,3
9,9,0,1,1,5,1,2.0,2.0,561.0,5,365,9.0,10.0,10.0,10.0,9.0,9.0,0,7
10,10,1,1,2,2,1,1.0,1.0,884.0,180,180,9.0,9.0,10.0,9.0,10.0,9.0,0,1
11,11,0,5,1,3,1,1.0,2.0,443.0,30,300,9.0,9.0,9.0,9.0,8.0,8.0,0,8
12,12,0,1,2,1,2,1.0,1.0,407.0,3,30,5,5,5,5,5,5,1,1
13,13,1,6,1,4,2,2.0,2.0,571.0,3,180,10.0,10.0,10.0,10.0,10.0,9.0,0,2
15,15,0,1,1,5,1,2.0,2.0,561.0,5,365,9.0,10.0,10.0,10.0,9.0,9.0,0,7
16,16,0,1,1,2,1,1.0,1.0,285.0,28,150,8.0,8.0,9.0,9.0,9.0,8.0,0,3
17,17,0,1,2,3,1,1.0,1.0,761.0,3,365,5,5,5,5,5,5,0,3
18,18,0,1,2,1,2,2.0,2.0,358.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
19,19,0,1,1,3,1,1.0,2.0,250.0,5,786,9.0,7.0,9.0,9.0,9.0,8.0,0,2
20,20,0,1,1,6,2,3.0,4.0,952.0,3,730,10.0,10.0,10.0,10.0,10.0,10.0,0,9
21,21,0,1,2,2,2,1.0,1.0,241.0,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,0,1
22,22,1,1,2,1,1,1.0,1.0,143.0,2,30,10.0,10.0,10.0,10.0,10.0,10.0,0,1
23,23,0,5,2,2,1,1.0,1.0,155.0,15,300,9.0,9.0,10.0,10.0,9.0,9.0,0,8
24,24,0,1,1,4,1,2.0,2.0,435.0,2,30,7.0,7.0,10.0,7.0,10.0,7.0,0,1
25,25,0,3,1,6,1,3.0,4.0,521.0,2,100,9.0,9.0,10.0,10.0,10.0,9.0,1,13
26,26,1,1,1,5,1,2.0,2.0,281.0,3,28,10.0,10.0,10.0,10.0,9.0,9.0,1,2
27,27,0,1,1,5,1,2.0,3.0,466.0,4,45,9.0,9.0,10.0,10.0,10.0,9.0,0,2
28,28,0,4,2,2,1,1.0,1.0,407.0,1,14,10.0,10.0,10.0,10.0,10.0,10.0,0,1
29,29,0,8,1,2,1,1.0,2.0,1222.0,2,730,5,5,5,5,5,5,0,1
30,30,1,1,2,1,1,1.0,1.0,114.0,20,1124,10.0,9.0,10.0,10.0,10.0,9.0,0,9
33,33,0,4,1,4,1,2.0,2.0,407.0,4,60,10.0,10.0,10.0,10.0,10.0,10.0,1,1
34,34,0,1,1,6,1,2.0,5.0,476.0,3,365,9.0,8.0,10.0,10.0,8.0,9.0,1,3
35,35,0,1,1,4,1,1.0,1.0,428.0,15,150,9.0,8.0,9.0,8.0,7.0,8.0,0,3
36,36,0,2,2,1,1,1.0,1.0,483.0,1,730,5,5,5,5,5,5,0,1
37,37,1,11,2,2,2,1.0,2.0,212.0,2,365,9.0,8.0,10.0,10.0,9.0,10.0,0,2
40,40,0,1,1,3,1,1.0,1.0,483.0,3,10,9.0,10.0,10.0,10.0,10.0,9.0,0,2
41,41,0,1,1,4,1,1.0,4.0,1127.0,6,730,10.0,10.0,10.0,10.0,10.0,10.0,0,1
42,42,0,1,1,6,1,2.0,2.0,904.0,2,365,9.0,9.0,9.0,10.0,9.0,8.0,1,3
43,43,1,1,1,5,1,2.0,2.0,314.0,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,1,9
44,44,1,1,1,4,1,2.0,2.0,942.0,2,365,10.0,10.0,10.0,10.0,10.0,10.0,0,3
45,45,0,9,1,2,2,1.0,2.0,844.0,3,30,5,5,5,5,5,5,0,1
46,46,1,6,1,4,1,1.0,3.0,407.0,30,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
47,47,0,1,1,4,1,1.0,1.0,1207.0,7,365,9.0,7.0,9.0,9.0,10.0,9.0,0,1
48,48,0,2,2,2,1,1.0,1.0,241.0,1,365,5,5,5,5,5,5,0,1
49,49,0,1,2,2,1,1.0,1.0,201.0,2,20,10.0,10.0,10.0,10.0,10.0,10.0,0,2
50,50,1,1,2,1,1,1.0,1.0,143.0,20,1124,10.0,9.0,10.0,10.0,10.0,10.0,0,9
51,51,1,1,2,1,1,1.0,1.0,116.0,16,1124,9.0,8.0,10.0,9.0,9.0,9.0,0,9
52,52,0,6,2,1,1,1.0,1.0,231.0,1,730,5,5,5,5,5,5,0,1
54,54,0,1,1,3,1,1.0,1.0,238.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
55,55,0,1,1,3,2,1.0,2.0,381.0,14,730,8.0,8.0,10.0,10.0,10.0,10.0,0,2
56,56,0,1,2,2,1,1.0,1.0,337.0,3,90,10.0,10.0,10.0,10.0,10.0,10.0,0,1
57,57,0,24,2,12,1,1.0,2.0,3113.0,1,730,5,5,5,5,5,5,0,2
58,58,0,4,1,4,1,3.0,3.0,674.0,3,365,9.0,9.0,10.0,10.0,9.0,9.0,1,3
59,59,0,3,2,3,0,1.0,2.0,143.0,20,210,10.0,9.0,10.0,10.0,10.0,10.0,0,2
60,60,0,1,1,3,1,1.0,1.0,213.0,30,365,10.0,9.0,10.0,10.0,10.0,9.0,0,12
61,61,0,1,1,4,1,2.0,2.0,561.0,5,365,9.0,10.0,10.0,10.0,10.0,8.0,0,7
62,62,1,6,1,3,1,1.0,1.0,381.0,3,180,10.0,10.0,10.0,10.0,10.0,10.0,0,2
63,63,0,4,2,6,1,1.0,6.0,155.0,1,365,10.0,9.0,10.0,10.0,9.0,10.0,0,1
64,64,0,2,2,1,1,1.0,1.0,381.0,5,660,5,5,5,5,5,5,0,1
66,66,0,1,1,4,1,2.0,2.0,942.0,5,365,9.0,9.0,10.0,9.0,8.0,9.0,0,7
67,67,0,3,2,4,1,1.0,0.0,564.0,1,1125,8.0,9.0,9.0,9.0,9.0,9.0,1,3
68,68,0,1,2,1,2,1.0,1.0,333.0,14,760,8.0,8.0,10.0,8.0,10.0,10.0,0,2
69,69,0,4,2,1,1,1.0,1.0,146.0,2,365,10.0,10.0,10.0,10.0,10.0,9.0,0,2
70,70,0,4,2,1,1,1.0,1.0,177.0,2,760,10.0,8.0,10.0,10.0,10.0,10.0,0,2
71,71,0,3,2,2,1,1.0,2.0,523.0,1,365,5,5,5,5,5,5,0,1
72,72,0,3,2,3,1,1.0,3.0,714.0,2,30,5,5,5,5,5,5,0,1
73,73,0,1,1,2,1,1.0,1.0,476.0,7,90,5,10.0,10.0,10.0,10.0,10.0,0,1
74,74,0,1,1,5,1,3.0,4.0,769.0,1,365,9.0,9.0,9.0,10.0,10.0,9.0,1,3
75,75,0,1,2,2,1,1.0,1.0,856.0,1,365,5,5,5,5,5,5,0,1
76,76,0,1,1,8,1,2.0,2.0,952.0,2,760,5,5,5,5,5,5,0,1
77,77,0,3,2,3,2,1.0,2.0,107.0,3,200,10.0,10.0,10.0,10.0,10.0,10.0,1,15
78,78,0,3,2,3,2,1.0,3.0,89.0,2,1125,9.0,9.0,9.0,10.0,9.0,9.0,1,15
79,79,0,2,1,5,1,4.0,4.0,362.0,2,365,9.0,9.0,10.0,10.0,10.0,9.0,0,4
80,80,1,1,1,6,2,2.0,3.0,514.0,2,60,10.0,10.0,10.0,10.0,10.0,9.0,1,13
81,81,0,2,1,2,1,2.0,1.0,402.0,2,365,10.0,10.0,10.0,10.0,10.0,10.0,0,1
82,82,0,2,2,2,1,1.0,1.0,322.0,1,365,5,5,5,5,5,5,0,2
83,83,0,3,2,3,2,1.0,3.0,89.0,2,100,9.0,9.0,10.0,10.0,9.0,9.0,1,15
84,84,0,3,1,3,1,3.0,3.0,476.0,7,365,5,5,5,5,5,5,0,1
85,85,0,1,1,3,1,1.0,2.0,266.0,3,800,9.0,10.0,10.0,10.0,10.0,9.0,0,12
86,86,0,1,1,4,2,1.0,1.0,1618.0,30,365,5,5,5,5,5,5,0,2
87,87,0,3,4,3,2,1.0,3.0,80.0,2,300,9.0,9.0,9.0,9.0,9.0,9.0,1,15
88,88,0,4,1,3,1,1.0,2.0,362.0,3,760,9.0,9.0,9.0,9.0,9.0,9.0,0,3
89,89,0,4,1,5,1,2.0,3.0,619.0,3,760,9.0,8.0,9.0,9.0,9.0,9.0,0,3
90,90,0,4,1,4,1,1.0,2.0,428.0,3,365,9.0,9.0,9.0,8.0,9.0,8.0,0,3
91,91,0,4,1,4,1,3.0,2.0,806.0,4,15,5,5,5,5,5,5,1,2
92,92,1,1,1,6,2,3.0,4.0,1434.0,2,365,10.0,9.0,10.0,10.0,10.0,9.0,1,3
93,93,0,1,1,2,1,1.0,1.0,714.0,7,10,5,5,5,5,5,5,0,1
94,94,1,1,1,3,1,2.0,2.0,544.0,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
95,95,1,1,1,3,1,2.0,2.0,544.0,6,1125,10.0,10.0,10.0,10.0,10.0,9.0,0,4
96,96,1,1,1,3,1,2.0,2.0,536.0,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
97,97,1,1,1,2,1,1.0,1.0,483.0,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
98,98,0,1,1,6,1,2.0,2.0,952.0,1,1125,9.0,9.0,9.0,9.0,9.0,9.0,0,1
99,99,0,2,2,1,1,1.0,1.0,161.0,1,365,9.0,10.0,10.0,10.0,9.0,10.0,0,4
100,100,0,2,2,2,1,1.0,1.0,190.0,2,365,9.0,9.0,9.0,9.0,9.0,9.0,0,4
101,101,0,1,1,6,1,2.0,2.0,666.0,6,1125,5,5,5,5,5,5,0,3
102,102,0,1,1,4,1,2.0,2.0,666.0,6,90,10.0,10.0,10.0,10.0,10.0,10.0,0,3
103,103,0,18,1,4,1,2.0,3.0,857.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
105,105,0,1,1,3,2,1.0,1.0,1903.0,1,1125,5,5,5,5,5,5,0,2
106,106,0,19,1,6,1,3.0,3.0,770.0,1,365,10.0,9.0,10.0,10.0,9.0,9.0,0,1
107,107,0,1,1,4,2,2.0,2.0,442.0,3,365,10.0,10.0,10.0,10.0,8.0,9.0,0,2
108,108,0,2,2,1,1,1.0,1.0,177.0,2,12,10.0,10.0,10.0,10.0,10.0,10.0,0,1
109,109,0,5,2,1,1,1.0,1.0,187.0,3,100,10.0,10.0,10.0,10.0,10.0,10.0,1,1
110,110,0,1,1,4,2,1.0,4.0,1513.0,2,180,9.0,10.0,10.0,10.0,10.0,8.0,0,15
111,111,0,1,1,4,2,1.0,4.0,1903.0,2,180,5,5,5,5,5,5,0,15
113,113,0,5,2,2,1,1.0,1.0,383.0,1,1125,5,5,5,5,5,5,0,1
114,114,0,6,1,1,1,1.0,1.0,333.0,1,21,5,5,5,5,5,5,0,1
115,115,0,4,1,4,1,2.0,4.0,1200.0,6,60,9.0,9.0,10.0,10.0,10.0,10.0,0,1
116,116,1,3,1,4,1,1.0,3.0,1418.0,1,1125,5,5,5,5,5,5,1,5
118,118,0,6,2,1,1,1.0,1.0,385.0,1,15,5,5,5,5,5,5,0,2
119,119,0,2,1,3,1,1.0,2.0,1142.0,2,90,10.0,10.0,10.0,10.0,9.0,9.0,1,1
120,120,0,3,2,3,2,1.0,2.0,113.0,2,200,9.0,9.0,9.0,10.0,9.0,9.0,1,15
121,121,1,1,1,3,1,1.0,2.0,400.0,2,364,9.0,9.0,9.0,9.0,9.0,9.0,0,3
122,122,0,1,2,2,1,1.0,2.0,1047.0,1,1125,5,5,5,5,5,5,0,1
123,123,0,6,2,2,1,1.0,1.0,337.0,2,10,5,5,5,5,5,5,0,2
124,124,0,2,3,6,2,3.0,4.0,966.0,10,150,10.0,8.0,10.0,10.0,10.0,10.0,1,1
126,126,0,1,1,2,1,1.0,2.0,571.0,30,730,5,5,5,5,5,5,0,1
127,127,1,1,1,5,1,1.0,2.0,305.0,2,1125,10.0,10.0,10.0,10.0,10.0,9.0,1,9
129,129,0,1,2,1,2,1.0,1.0,86.0,1,30,10.0,10.0,10.0,10.0,10.0,10.0,1,8
130,130,0,4,2,1,1,1.0,1.0,333.0,2,30,5,5,5,5,5,5,1,1
131,131,0,1,1,6,2.5,2.0,4.0,523.0,60,365,9.0,9.0,10.0,10.0,10.0,9.0,0,1
132,132,0,1,1,3,1,1.0,2.0,270.0,1,450,9.0,9.0,10.0,10.0,10.0,9.0,0,12
133,133,0,19,1,5,1,3.0,3.0,674.0,2,1125,10.0,9.0,10.0,10.0,10.0,9.0,0,1
134,134,0,5,2,2,1,1.0,1.0,1563.0,1,1125,5,5,5,5,5,5,0,1
135,135,1,11,2,2,2,1.0,1.0,165.0,3,1125,10.0,10.0,10.0,10.0,9.0,10.0,0,2
136,136,0,4,1,8,1,3.0,4.0,428.0,3,1125,9.0,7.0,9.0,9.0,10.0,9.0,0,2
137,137,0,1,1,3,1,1.0,2.0,235.0,2,450,9.0,8.0,9.0,9.0,10.0,9.0,0,12
138,138,0,2,2,2,1,1.0,1.0,448.0,3,14,10.0,10.0,10.0,10.0,10.0,10.0,0,1
139,139,0,1,1,3,1,1.0,2.0,9506.0,4,1125,10.0,10.0,10.0,10.0,9.0,9.0,0,7
140,140,0,5,1,4,1,2.0,3.0,201.0,3,15,5,5,5,5,5,5,0,1
141,141,0,1,1,6,1,2.0,3.0,1200.0,4,60,10.0,10.0,10.0,10.0,10.0,9.0,0,4
142,142,0,1,2,1,2,1.0,1.0,143.0,2,99,7.0,8.0,9.0,8.0,9.0,8.0,1,8
144,144,0,1,1,4,1,1.0,2.0,619.0,2,365,9.0,9.0,9.0,10.0,9.0,9.0,1,3
145,145,0,1,1,5,2,2.0,4.0,818.0,3,365,9.0,9.0,9.0,10.0,10.0,9.0,0,7
146,146,0,2,2,4,1,1.0,4.0,381.0,2,60,10.0,8.0,10.0,10.0,10.0,8.0,1,1
147,147,0,1,1,3,1,2.0,2.0,190.0,5,1125,10.0,9.0,10.0,10.0,9.0,10.0,0,1
148,148,0,1,1,5,1,2.0,2.0,942.0,5,1125,2.0,6.0,6.0,4.0,6.0,2.0,0,7
149,149,0,2,1,4,1,1.0,1.0,476.0,1,1125,10.0,9.0,9.0,10.0,9.0,9.0,0,1
150,150,0,2,1,4,2,2.0,1.0,177.0,3,1125,9.0,8.0,9.0,9.0,10.0,9.0,1,1
151,151,0,3,2,4,2,1.0,6.0,113.0,2,200,9.0,8.0,9.0,10.0,9.0,9.0,1,15
152,152,0,5,2,6,1,3.0,3.0,326.0,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,0,2
153,153,1,1,1,2,1,1.0,1.0,466.0,2,120,10.0,10.0,10.0,10.0,10.0,10.0,1,5
154,154,0,13,1,4,1,1.0,2.0,799.0,6,1125,9.0,9.0,9.0,9.0,9.0,9.0,1,1
155,155,0,2,2,1,1,1.0,1.0,190.0,2,1825,10.0,10.0,10.0,10.0,10.0,10.0,0,1
156,156,0,5,1,5,1,1.0,3.0,1127.0,3,30,5,5,5,5,5,5,0,7
157,157,0,1,1,6,1,2.0,4.0,1427.0,1,1125,8.0,9.0,10.0,10.0,9.0,10.0,0,5
158,158,0,2,2,2,1,1.0,1.0,218.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
159,159,0,21,1,4,1,1.0,1.0,481.0,2,1125,8.0,10.0,10.0,10.0,8.0,10.0,0,1
160,160,0,3,2,1,0,1.0,1.0,95.0,20,210,10.0,10.0,10.0,10.0,10.0,10.0,0,2
161,161,0,3,1,5,1,2.0,1.0,1037.0,1,14,7.0,9.0,7.0,7.0,8.0,7.0,0,2
162,162,0,2,2,1,1,1.0,1.0,95.0,1,1125,9.0,8.0,10.0,10.0,9.0,10.0,0,1
163,163,1,1,1,6,2,3.0,4.0,761.0,2,60,10.0,10.0,10.0,10.0,10.0,9.0,1,13
164,164,1,1,1,6,2,3.0,3.0,761.0,2,60,10.0,10.0,10.0,10.0,10.0,10.0,1,13
165,165,0,4,2,1,1,1.0,1.0,122.0,1,14,5,5,5,5,5,5,0,1
166,166,1,1,1,5,1,2.0,3.0,483.0,2,60,10.0,10.0,10.0,10.0,10.0,10.0,1,13
167,167,1,1,1,2,1,1.0,1.0,390.0,2,60,10.0,10.0,10.0,10.0,9.0,9.0,1,13
168,168,0,1,1,6,1,2.0,2.0,942.0,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,0,11
169,169,0,1,1,8,2,3.0,8.0,523.0,3,1125,10.0,9.0,10.0,10.0,10.0,9.0,0,1
170,170,0,1,2,1,1,1.0,1.0,129.0,3,1095,9.0,8.0,10.0,10.0,7.0,9.0,1,6
171,171,0,1,1,3,1,1.0,1.0,282.0,2,1095,9.0,9.0,10.0,10.0,8.0,9.0,1,6
172,172,0,1,1,4,2,2.0,2.0,657.0,8,1125,10.0,9.0,9.0,10.0,10.0,9.0,0,1
173,173,0,4,2,2,1,1.0,2.0,241.0,1,1125,5,5,5,5,5,5,0,1
174,174,0,1,2,2,2,1.0,2.0,443.0,1,45,10.0,10.0,10.0,10.0,10.0,9.0,0,3
175,175,0,1,1,5,1,2.0,2.0,571.0,2,1125,8.0,7.0,9.0,9.0,8.0,8.0,0,5
176,176,0,5,1,4,2,2.0,2.0,724.0,5,1125,9.0,10.0,10.0,10.0,10.0,10.0,0,1
177,177,0,3,2,4,1,1.0,3.0,1142.0,1,1125,5,5,5,5,5,5,0,2
178,178,0,5,2,2,1,1.0,1.0,1323.0,1,1125,5,5,5,5,5,5,0,1
179,179,0,1,2,1,1,1.0,1.0,121.0,3,365,9.0,8.0,10.0,9.0,8.0,8.0,1,6
180,180,1,2,1,6,1,2.0,3.0,475.0,3,30,10.0,10.0,10.0,10.0,10.0,10.0,1,2
181,181,0,2,1,6,2,2.0,3.0,1047.0,2,30,10.0,10.0,10.0,10.0,10.0,10.0,0,2
182,182,1,3,1,7,3,5.0,5.0,1523.0,2,1825,10.0,10.0,10.0,10.0,10.0,9.0,0,3
183,183,0,1,1,3,1,1.0,1.0,209.0,3,1125,9.0,9.0,9.0,9.0,10.0,10.0,1,6
184,184,0,1,2,2,1,1.0,1.0,428.0,3,30,5,5,5,5,5,5,0,2
185,185,0,11,2,5,1,1.0,4.0,1444.0,5,1125,8.0,9.0,8.0,8.0,5.0,8.0,0,4
186,186,0,1,2,1,1,1.0,1.0,241.0,2,60,5,5,5,5,5,5,0,1
187,187,0,5,1,6,2,3.0,3.0,1207.0,2,1125,10.0,10.0,9.0,10.0,9.0,9.0,0,1
188,188,1,1,2,2,1,1.0,2.0,266.0,7,1125,8.0,8.0,9.0,9.0,10.0,9.0,1,3
189,189,0,1,2,1,1,1.0,1.0,145.0,3,1095,9.0,9.0,10.0,9.0,8.0,9.0,1,6
190,190,0,1,2,1,1,1.0,1.0,121.0,3,1095,9.0,9.0,9.0,9.0,6.0,8.0,0,6
191,191,1,2,1,5,2,2.0,2.0,539.0,2,30,10.0,9.0,10.0,10.0,10.0,10.0,1,2
192,192,0,11,2,2,1,1.0,1.0,578.0,5,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
193,193,0,1,1,6,1,2.0,5.0,897.0,30,1125,8.0,8.0,9.0,9.0,9.0,9.0,1,5
194,194,0,11,2,2,1,1.0,1.0,578.0,5,1125,5,5,5,5,5,5,0,4
195,195,0,11,2,1,1,1.0,1.0,385.0,5,1125,5,5,5,5,5,5,0,4
196,196,0,2,1,4,1,2.0,1.0,204.0,2,1125,9.0,10.0,10.0,10.0,9.0,10.0,0,3
197,197,0,2,1,1,1,1.0,1.0,530.0,3,1125,5,5,5,5,5,5,0,2
198,198,0,1,2,1,1,1.0,1.0,571.0,1,1825,5,5,5,5,5,5,0,1
199,199,1,1,1,4,1,1.0,1.0,381.0,1,365,8.0,6.0,10.0,10.0,8.0,8.0,0,5
200,200,1,1,2,2,1,1.0,1.0,238.0,7,30,10.0,8.0,9.0,9.0,10.0,10.0,1,3
201,201,1,5,2,2,1,1.0,2.0,124.0,7,1125,10.0,10.0,9.0,10.0,9.0,9.0,0,11
202,202,0,3,2,4,1,1.0,1.0,1127.0,1,1125,5,5,5,5,5,5,0,1
203,203,0,4,2,1,1,1.0,1.0,381.0,1,1125,5,5,5,5,5,5,0,2
205,205,0,3,2,5,2,1.0,5.0,1169.0,1,1125,5,5,5,5,5,5,0,1
206,206,0,4,2,2,1,1.0,1.0,385.0,7,14,10.0,10.0,9.0,10.0,9.0,10.0,1,3
207,207,0,4,2,13,3,1.0,13.0,86.0,30,1125,10.0,8.0,10.0,10.0,10.0,10.0,0,4
208,208,1,3,3,3,2,2.0,2.0,381.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,3
209,209,1,3,3,4,2,3.0,3.0,381.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,3
210,210,0,11,2,1,1,1.0,1.0,611.0,1,1125,5,5,5,5,5,5,0,1
211,211,0,3,2,2,1,1.0,1.0,517.0,1,180,5,5,5,5,5,5,1,1
212,212,0,2,1,3,2,2.0,2.0,360.0,3,300,9.0,10.0,10.0,10.0,10.0,10.0,1,1
213,213,0,1,1,3,1,1.0,1.0,797.0,1,1125,5,5,5,5,5,5,0,1
214,214,1,1,1,7,2,2.0,4.0,666.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
216,216,0,1,2,1,1,1.0,1.0,276.0,360,365,5,5,5,5,5,5,0,1
217,217,0,3,1,2,1,1.0,1.0,171.0,1,1125,8.0,9.0,9.0,9.0,9.0,8.0,1,21
218,218,0,4,1,11,2,4.0,8.0,571.0,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,0,4
219,219,0,1,4,1,1,1.0,1.0,476.0,1,1125,5,5,5,5,5,5,0,1
220,220,0,3,2,1,1,1.0,1.0,241.0,1,1125,5,5,5,5,5,5,0,1
221,221,1,2,1,3,1,1.0,1.0,684.0,3,365,9.0,9.0,10.0,9.0,10.0,9.0,0,5
222,222,0,1,2,2,1,1.0,1.0,476.0,2,1125,5,5,5,5,5,5,0,1
223,223,1,1,1,6,2,3.0,4.0,1713.0,1,365,9.0,10.0,10.0,10.0,10.0,9.0,0,11
224,224,1,1,1,4,1,2.0,3.0,457.0,3,30,10.0,9.0,10.0,10.0,10.0,10.0,0,3
225,225,1,1,1,5,2,2.0,2.0,904.0,2,180,10.0,10.0,10.0,9.0,10.0,9.0,1,11
226,226,1,1,1,3,1,1.0,0.0,571.0,2,180,10.0,10.0,10.0,10.0,10.0,9.0,0,11
227,227,0,4,1,5,2,3.0,7.0,529.0,4,30,10.0,9.0,10.0,10.0,10.0,10.0,0,1
228,228,1,1,1,3,1,1.0,1.0,571.0,2,150,10.0,10.0,10.0,9.0,10.0,9.0,0,11
229,229,1,1,1,3,1,1.0,1.0,571.0,2,150,10.0,10.0,10.0,10.0,10.0,10.0,0,11
230,230,1,1,1,4,1,1.0,1.0,1332.0,2,180,9.0,10.0,10.0,10.0,9.0,10.0,0,11
231,231,0,3,1,2,1,1.0,2.0,270.0,2,1125,9.0,9.0,9.0,10.0,9.0,9.0,1,8
232,232,0,3,1,6,2,2.0,3.0,329.0,2,1125,9.0,9.0,9.0,9.0,9.0,9.0,1,8
234,234,0,3,2,2,1,1.0,1.0,163.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
235,235,0,1,1,5,1,2.0,2.0,1427.0,1,1125,8.0,8.0,9.0,10.0,9.0,8.0,1,1
236,236,0,3,1,4,1,1.0,2.0,337.0,2,1125,9.0,9.0,9.0,9.0,9.0,9.0,1,8
237,237,0,3,1,2,1,1.0,1.0,261.0,2,1125,9.0,9.0,10.0,9.0,9.0,9.0,1,8
238,238,0,2,1,3,1,2.0,2.0,1047.0,3,14,5,5,5,5,5,5,0,1
239,239,1,5,2,2,1,1.0,1.0,114.0,7,1000,10.0,10.0,10.0,10.0,10.0,10.0,0,11
240,240,0,5,1,4,2.5,2.0,2.0,495.0,2,200,10.0,10.0,10.0,10.0,10.0,10.0,0,1
241,241,0,2,2,2,2,1.0,2.0,952.0,1,1825,5,5,5,5,5,5,0,1
242,242,0,11,2,1,1,1.0,1.0,687.0,180,1825,5,5,5,5,5,5,1,1
243,243,1,18,1,3,1,1.0,2.0,578.0,5,365,10.0,10.0,10.0,10.0,9.0,10.0,0,2
244,244,0,1,2,1,1,1.0,1.0,517.0,5,365,10.0,10.0,8.0,10.0,10.0,10.0,0,1
245,245,1,3,1,2,2,1.0,2.0,419.0,14,1125,9.0,10.0,10.0,10.0,9.0,9.0,1,4
246,246,1,3,1,2,1,1.0,1.0,367.0,14,1125,9.0,9.0,9.0,9.0,9.0,9.0,1,4
247,247,0,3,1,8,3,2.0,2.0,2202.0,1,1125,9.0,9.0,9.0,9.0,9.0,8.0,0,2
248,248,0,2,2,1,1,1.0,1.0,95.0,3,150,9.0,9.0,10.0,10.0,9.0,10.0,0,1
249,249,0,1,1,4,1,1.0,2.0,500.0,3,364,8.0,9.0,8.0,9.0,10.0,8.0,1,3
250,250,0,5,2,2,1,1.0,1.0,298.0,1,1125,9.0,8.0,10.0,10.0,9.0,9.0,0,3
251,251,0,2,1,2,1,1.0,1.0,209.0,180,1125,8.0,9.0,10.0,10.0,10.0,10.0,0,2
252,252,1,2,1,2,1,1.0,1.0,273.0,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,1,2
253,253,1,1,1,3,1,1.0,2.0,239.0,2,180,10.0,9.0,10.0,10.0,10.0,9.0,1,5
254,254,0,1,1,3,1,2.0,2.0,607.0,2,1125,10.0,10.0,10.0,10.0,9.0,9.0,1,2
255,255,0,23,2,4,2,2.0,2.0,204.0,1,1125,9.0,9.0,10.0,10.0,9.0,9.0,0,8
257,257,0,5,2,2,3,1.0,2.0,333.0,1,1125,5,5,5,5,5,5,0,1
258,258,0,24,1,3,1,1.0,1.0,448.0,1,1125,10.0,10.0,10.0,10.0,9.0,9.0,0,1
259,259,0,23,2,5,2,1.0,5.0,3258.0,1,1125,5,5,5,5,5,5,0,1
260,260,0,32,2,2,2,1.0,1.0,578.0,1,1125,5,5,5,5,5,5,0,1
261,261,0,20,1,6,1,2.0,6.0,645.0,7,1125,10.0,9.0,8.0,9.0,8.0,9.0,0,6
262,262,0,20,1,5,2,2.0,5.0,472.0,7,1125,8.0,10.0,9.0,10.0,8.0,9.0,0,6
263,263,0,21,4,1,1,1.0,1.0,674.0,1,1125,5,5,5,5,5,5,0,1
264,264,0,6,2,4,1,1.0,2.0,1140.0,1,1125,10.0,10.0,10.0,8.0,8.0,10.0,0,1
265,265,0,11,2,2,1,1.0,0.0,815.0,6,30,5,5,5,5,5,5,0,1
266,266,0,2,1,2,1,1.0,1.0,761.0,6,60,5,5,5,5,5,5,0,1
267,267,0,33,1,3,1,1.0,1.0,481.0,1,1125,5,5,5,5,5,5,0,1
