,Unnamed: 0,Unnamed: 0.1,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
17909,20078,20078,0,1,2,2,1.0,1.0,2.0,180.0,1,100,5.0,5.0,5.0,5.0,5.0,5.0,1,8
17910,20080,20080,0,4,1,2,1.0,1.0,1.0,274.0,1,365,9.0,9.0,9.0,10.0,10.0,9.0,1,7
17912,20082,20082,0,1,2,2,1.0,1.0,2.0,142.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17913,20083,20083,0,4,2,2,1.0,1.0,1.0,80.0,1,365,2.0,2.0,2.0,2.0,10.0,10.0,0,1
17914,20084,20084,0,2,1,4,1.0,2.0,3.0,150.0,140,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,6
17915,20085,20085,0,7,1,3,1.0,1.0,0.0,244.0,7,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,28
17916,20086,20086,0,1,2,2,1.0,1.0,1.0,159.0,1,1125,2.0,10.0,6.0,10.0,10.0,10.0,1,5
17917,20087,20087,0,1,2,2,1.0,1.0,1.0,159.0,1,1125,2.0,8.0,10.0,8.0,10.0,6.0,1,5
17918,20088,20088,0,5,1,3,1.0,1.0,2.0,281.0,5,60,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17919,20089,20089,0,5,1,4,1.0,2.0,2.0,325.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
17920,20090,20090,1,2,1,2,1.0,1.0,1.0,708.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,13
17921,20091,20091,1,16,1,2,1.0,1.0,1.0,347.0,13,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,35
17922,20092,20092,0,30,1,4,1.0,1.0,1.0,250.0,1,30,10.0,10.0,10.0,10.0,10.0,10.0,1,2
17923,20093,20093,0,9,4,1,1.0,1.0,0.0,163.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
17924,20094,20094,0,5,2,2,1.0,1.0,1.0,72.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
17925,20095,20095,0,1,1,3,1.0,1.0,2.0,211.0,1,28,8.0,10.0,10.0,10.0,10.0,10.0,1,3
17926,20096,20096,1,1,1,2,1.0,1.0,1.0,124.0,7,30,10.0,8.0,10.0,10.0,10.0,10.0,1,6
17927,20097,20097,1,1,1,2,1.0,1.0,1.0,114.0,7,30,10.0,10.0,10.0,10.0,10.0,10.0,1,6
17928,20098,20098,1,1,1,2,1.0,1.0,0.0,113.0,7,30,8.0,8.0,6.0,6.0,10.0,10.0,1,6
17929,20100,20100,0,6,2,2,2.0,1.0,1.0,407.0,1,30,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17930,20101,20101,0,8,2,1,1.0,1.0,2.0,80.0,15,45,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17931,20102,20102,0,1,2,2,1.0,1.0,1.0,298.0,2,38,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17933,20104,20104,0,1,2,3,1.0,1.0,1.0,106.0,1,1125,9.0,10.0,10.0,9.0,10.0,10.0,1,17
17934,20105,20105,0,3,2,2,1.0,1.0,1.0,149.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,10
17935,20106,20106,0,2,1,2,1.0,1.0,2.0,220.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,8
17936,20107,20107,0,2,1,4,1.0,1.0,3.0,238.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,5
17937,20108,20108,0,2,2,4,1.0,1.0,3.0,247.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,5
17938,20109,20109,0,3,2,2,1.0,1.0,1.0,150.0,1,30,5.0,5.0,5.0,5.0,5.0,5.0,1,7
17939,20110,20110,0,3,2,3,1.0,1.0,2.0,129.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,4
17940,20111,20111,0,3,2,5,2.0,2.0,3.0,241.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,4
17941,20112,20112,0,1,1,6,2.0,2.0,4.0,598.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,10
17942,20113,20113,0,3,2,2,1.0,1.0,1.0,121.0,1,30,5.0,5.0,5.0,5.0,5.0,5.0,1,7
17943,20114,20114,0,4,2,1,1.0,1.0,0.0,100.0,1,5,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17944,20115,20115,0,3,2,2,1.0,1.0,1.0,121.0,1,30,10.0,10.0,10.0,10.0,8.0,8.0,1,7
17945,20116,20116,0,7,1,4,1.0,1.0,1.0,175.0,20,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,13
17946,20117,20117,0,1,1,4,1.0,1.0,2.0,381.0,3,31,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17947,20118,20118,0,4,2,2,1.0,1.0,2.0,80.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,3
17948,20119,20119,0,3,2,2,1.0,1.0,1.0,121.0,1,30,10.0,10.0,10.0,10.0,9.0,10.0,1,7
17949,20120,20120,0,4,2,2,1.0,1.0,2.0,80.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,3
17950,20122,20122,0,3,2,2,1.0,1.0,0.0,117.0,1,30,5.0,5.0,5.0,5.0,5.0,5.0,1,7
17951,20123,20123,0,3,2,2,1.0,1.0,1.0,120.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17952,20124,20124,0,2,1,6,1.0,2.0,4.0,483.0,3,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,6
17953,20125,20125,0,9,2,1,1.0,1.0,1.0,80.0,2,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17954,20128,20128,0,30,1,4,1.0,1.0,1.0,320.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,3
17955,20130,20130,0,19,1,5,1.0,2.0,2.0,350.0,7,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
