host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,price
within an hour,89.0,100.0,0.0,2.0,2.0,1.0,1.0,4,1,4,1,2.0,2.0,4,60,1,8,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0.07,407.0
within a day,50.0,0.0,0.0,3.0,3.0,1.0,1.0,1,1,6,1,2.0,5.0,3,365,1,129,0,0,89.0,9.0,8.0,10.0,10.0,8.0,9.0,1,3,1.14,476.0
,,,0.0,4.0,4.0,1.0,1.0,1,1,4,1,1.0,1.0,15,150,1,8,0,0,80.0,9.0,8.0,9.0,8.0,7.0,8.0,0,3,0.11,428.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,1,1,1.0,1.0,1,730,1,0,0,0,,,,,,,,0,1,,483.0
within a few hours,100.0,100.0,1.0,2.0,2.0,1.0,1.0,11,2,2,2,1.0,2.0,2,365,1,34,0,0,92.0,9.0,8.0,10.0,10.0,9.0,10.0,0,2,0.3,212.0
a few days or more,0.0,,0.0,1.0,1.0,0.0,0.0,20,2,1,1,1.0,,1,730,1,0,0,0,,,,,,,,0,1,,815.0
,,,0.0,3.0,3.0,1.0,1.0,1,2,2,1,,1.0,1,365,1,0,0,0,,,,,,,,0,3,,523.0
,,,0.0,2.0,2.0,1.0,0.0,1,1,3,1,1.0,1.0,3,10,1,13,0,0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,0,2,0.12,483.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,4,1,1.0,4.0,6,730,1,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.01,1127.0
within a day,100.0,,0.0,3.0,3.0,1.0,1.0,1,1,6,1,2.0,2.0,2,365,1,36,0,0,86.0,9.0,9.0,9.0,10.0,9.0,8.0,1,3,0.34,904.0
within an hour,100.0,100.0,1.0,9.0,9.0,1.0,1.0,1,1,5,1,2.0,2.0,2,1125,1,151,13,3,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1,9,1.63,314.0
,,100.0,1.0,1.0,1.0,1.0,1.0,1,1,4,1,2.0,2.0,2,365,1,135,0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3,1.22,942.0
,,,0.0,1.0,1.0,1.0,0.0,9,1,2,2,1.0,2.0,3,30,1,0,0,0,,,,,,,,0,1,,844.0
within an hour,100.0,100.0,1.0,2.0,2.0,1.0,1.0,6,1,4,1,1.0,3.0,30,1125,1,85,1,1,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,0.78,407.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,4,1,1.0,1.0,7,365,1,3,0,0,80.0,9.0,7.0,9.0,9.0,10.0,9.0,0,1,0.03,1207.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,2,1,1.0,1.0,1,365,1,0,0,0,,,,,,,,0,1,,241.0
