host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,price
within an hour,100.0,96.0,1.0,1.0,1.0,1.0,1.0,1,1,6,1,2.0,4.0,2,1125,1,186,24,1,93.0,10.0,9.0,10.0,10.0,9.0,9.0,1,1,2.78,210.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,2,1,1.0,2.0,1,1125,1,0,0,0,,,,,,,,1,1,,1046.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,4,1,1.0,4.0,1,1125,1,0,0,0,,,,,,,,0,1,,714.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,500,1,60,1,0,91.0,9.0,9.0,10.0,10.0,9.0,9.0,1,67,0.92,146.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,90,1,32,1,0,91.0,9.0,10.0,9.0,9.0,10.0,9.0,1,67,0.48,238.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,300,1,6,0,0,90.0,9.0,8.0,9.0,10.0,9.0,9.0,1,67,0.09,311.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,1125,1,249,15,2,94.0,9.0,9.0,10.0,9.0,10.0,9.0,1,67,3.89,192.0
,,,0.0,1.0,1.0,1.0,0.0,4,4,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,100.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,1125,1,207,19,0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1,67,3.22,212.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,500,1,36,1,0,92.0,9.0,10.0,10.0,10.0,10.0,9.0,1,67,0.54,222.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,2.0,1,1125,1,16,5,0,89.0,10.0,10.0,10.0,9.0,10.0,10.0,1,67,0.24,333.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,2.0,1,1125,1,9,1,0,91.0,9.0,9.0,9.0,10.0,9.0,9.0,1,67,0.14,333.0
a few days or more,0.0,,0.0,1.0,1.0,1.0,0.0,13,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,500.0
within an hour,100.0,100.0,0.0,5.0,5.0,1.0,1.0,2,1,7,1,2.0,5.0,2,100,1,3,0,0,67.0,8.0,6.0,9.0,9.0,9.0,9.0,1,4,0.08,483.0
,,,0.0,1.0,1.0,1.0,1.0,12,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,481.0
within a few hours,100.0,,0.0,2.0,2.0,1.0,1.0,6,2,1,1,1.0,1.0,3,1125,1,10,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.15,96.0
within an hour,100.0,100.0,0.0,5.0,5.0,1.0,1.0,3,2,4,1,1.0,3.0,3,1125,1,2,0,0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,1,5,0.06,238.0
,,,0.0,1.0,1.0,1.0,0.0,1,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,571.0
within an hour,100.0,100.0,0.0,5.0,5.0,1.0,1.0,2,1,6,1,2.0,4.0,2,100,1,20,0,0,96.0,9.0,9.0,9.0,10.0,10.0,10.0,1,4,0.38,563.0
within an hour,100.0,100.0,0.0,5.0,5.0,1.0,1.0,2,1,4,1,1.0,2.0,2,100,1,3,0,0,80.0,7.0,9.0,7.0,10.0,9.0,7.0,1,4,0.1,378.0
,,,0.0,1.0,1.0,1.0,0.0,2,1,2,1,1.0,3.0,30,180,1,0,0,0,,,,,,,,0,1,,298.0
,,,0.0,1.0,1.0,1.0,1.0,1,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,285.0
,,,0.0,3.0,3.0,1.0,1.0,1,2,4,1,1.0,3.0,1,1125,1,0,0,0,,,,,,,,0,3,,381.0
,,,0.0,3.0,3.0,1.0,1.0,1,2,4,1,1.0,3.0,1,1125,1,5,0,0,100.0,9.0,8.0,10.0,10.0,8.0,10.0,0,3,0.07,381.0
within an hour,100.0,81.0,0.0,3.0,3.0,1.0,1.0,3,1,5,1,1.0,3.0,1,1125,1,73,1,1,84.0,8.0,8.0,9.0,9.0,9.0,9.0,0,3,1.08,313.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,2,2,1.0,2.0,1,1125,1,0,0,0,,,,,,,,1,1,,282.0
,,,0.0,3.0,3.0,1.0,1.0,3,1,4,2,1.0,2.0,180,365,1,27,0,0,92.0,9.0,10.0,9.0,10.0,9.0,10.0,0,1,0.4,428.0
,,,0.0,3.0,3.0,1.0,1.0,1,1,6,1,2.0,4.0,1,1125,1,5,0,0,92.0,9.0,8.0,10.0,10.0,8.0,8.0,0,3,0.07,666.0
,,,0.0,1.0,1.0,1.0,0.0,3,2,2,2,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,285.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,2,1,1.0,1.0,2,30,1,0,0,0,,,,,,,,0,1,,632.0
,,,0.0,1.0,1.0,1.0,0.0,16,2,2,1,1.0,1.0,1,1125,1,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0.02,733.0
,,,0.0,2.0,2.0,1.0,0.0,1,2,2,1,1.0,1.0,2,7,1,0,0,0,,,,,,,,0,2,,402.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,4,1,2.0,2.0,3,120,1,0,0,0,,,,,,,,0,1,,1207.0
within a few hours,100.0,100.0,0.0,5.0,5.0,1.0,1.0,1,1,2,1,,1.0,7,1125,1,44,4,0,94.0,9.0,10.0,10.0,10.0,9.0,9.0,1,5,0.68,270.0
within a few hours,100.0,100.0,0.0,5.0,5.0,1.0,1.0,1,1,2,1,,1.0,7,1125,1,47,10,0,86.0,9.0,9.0,9.0,10.0,9.0,9.0,1,5,0.7,190.0
within a few hours,90.0,96.0,0.0,2.0,2.0,1.0,1.0,1,1,4,1,1.0,2.0,3,1124,1,66,4,0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0,2,0.98,309.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,190.0
,,,0.0,3.0,3.0,1.0,0.0,2,1,8,2,4.0,6.0,1,1125,1,0,0,0,,,,,,,,1,3,,2369.0
,,,0.0,3.0,3.0,1.0,0.0,2,1,6,1,2.0,4.0,1,1125,1,0,0,0,,,,,,,,0,3,,904.0
,,,0.0,3.0,3.0,1.0,0.0,2,1,2,1,,1.0,1,1125,1,0,0,0,,,,,,,,0,3,,657.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,1125,1,197,2,0,92.0,9.0,10.0,10.0,10.0,10.0,9.0,1,67,3.02,333.0
,,100.0,0.0,1.0,1.0,1.0,1.0,3,2,2,3,1.0,1.0,3,1125,1,0,0,0,,,,,,,,1,1,,362.0
,,,0.0,1.0,1.0,1.0,1.0,5,2,2,1,1.0,2.0,2,10,1,5,0,0,87.0,10.0,9.0,10.0,10.0,9.0,10.0,0,1,0.08,367.0
,,,0.0,1.0,1.0,1.0,0.0,8,1,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,809.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,4,1,2.0,4.0,1,1125,1,0,0,0,,,,,,,,0,1,,1142.0
within an hour,100.0,100.0,1.0,17.0,17.0,1.0,1.0,1,1,7,2,2.0,4.0,3,1125,1,33,3,0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,1,19,0.51,856.0
,,,0.0,2.0,2.0,1.0,0.0,1,2,4,1,1.0,2.0,2,10,1,0,0,0,,,,,,,,0,2,,604.0
,,100.0,0.0,6.0,6.0,1.0,1.0,3,1,6,1,2.0,4.0,3,1125,1,0,0,0,,,,,,,,1,7,,8049.0
within an hour,100.0,100.0,0.0,1.0,1.0,1.0,0.0,1,1,2,1,1.0,2.0,2,45,1,47,11,3,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,0.74,466.0
within an hour,100.0,100.0,0.0,11.0,11.0,1.0,1.0,1,1,4,1,1.0,2.0,2,1125,1,154,15,2,87.0,8.0,8.0,9.0,9.0,10.0,9.0,1,13,2.3,390.0
,,,0.0,1.0,1.0,1.0,0.0,4,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,407.0
within an hour,100.0,100.0,0.0,11.0,11.0,1.0,1.0,1,1,4,1,1.0,2.0,2,1125,1,77,5,2,88.0,9.0,9.0,9.0,10.0,10.0,9.0,1,13,1.15,474.0
,,,0.0,2.0,2.0,1.0,0.0,2,1,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,805.0
within an hour,100.0,100.0,1.0,11.0,11.0,1.0,1.0,1,1,4,1,1.0,1.0,2,60,1,190,32,3,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,13,2.85,761.0
within a few hours,100.0,78.0,0.0,1.0,1.0,1.0,1.0,1,1,2,1,1.0,1.0,4,90,1,16,2,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.25,1245.0
,,,0.0,1.0,1.0,1.0,0.0,5,2,2,1,1.0,1.0,1,1125,1,3,0,0,80.0,8.0,10.0,8.0,8.0,6.0,8.0,0,1,0.05,75.0
,,0.0,0.0,3.0,3.0,1.0,0.0,5,1,4,1,2.0,2.0,7,30,1,0,0,0,,,,,,,,1,1,,2379.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,365,1,54,0,0,91.0,9.0,9.0,10.0,10.0,10.0,10.0,1,67,0.82,110.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,30,1,208,12,3,92.0,9.0,9.0,10.0,10.0,10.0,9.0,1,67,3.23,129.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,120,1,51,4,1,84.0,8.0,8.0,9.0,9.0,10.0,9.0,1,67,0.77,102.0
within an hour,90.0,94.0,0.0,6.0,6.0,1.0,1.0,1,3,4,2,2.0,2.0,1,1125,1,8,0,0,87.0,9.0,9.0,9.0,9.0,9.0,9.0,1,8,0.12,475.0
within a day,100.0,0.0,0.0,1.0,1.0,1.0,1.0,5,1,4,2,2.0,2.0,1,1125,1,5,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.08,1468.0
a few days or more,0.0,,0.0,2.0,2.0,1.0,0.0,2,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,2,,190.0
within a day,100.0,100.0,0.0,3.0,3.0,1.0,1.0,3,1,4,1,1.0,3.0,2,1125,1,55,5,0,95.0,10.0,9.0,10.0,10.0,10.0,10.0,1,3,0.84,443.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,365,1,151,12,0,89.0,9.0,8.0,9.0,9.0,10.0,9.0,1,67,2.28,137.0
,,100.0,0.0,10.0,10.0,1.0,0.0,3,2,4,1,1.0,3.0,1,6,1,3,0,0,93.0,6.0,9.0,5.0,9.0,10.0,5.0,0,10,0.11,619.0
within a day,100.0,100.0,0.0,3.0,3.0,1.0,1.0,3,1,4,1,1.0,3.0,2,1125,1,73,8,0,92.0,10.0,9.0,10.0,10.0,10.0,10.0,1,3,1.09,394.0
within an hour,97.0,98.0,0.0,16.0,16.0,1.0,1.0,1,1,2,1,,1.0,1,90,1,180,50,2,86.0,9.0,9.0,9.0,9.0,9.0,9.0,0,16,2.69,315.0
,,,0.0,1.0,1.0,1.0,1.0,2,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,120.0
,,,0.0,1.0,1.0,1.0,0.0,33,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,140.0
within a day,100.0,100.0,0.0,3.0,3.0,1.0,1.0,3,1,4,1,1.0,3.0,2,1125,1,100,6,0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,1,3,1.5,394.0
,,,0.0,1.0,1.0,1.0,1.0,5,4,1,1,1.0,2.0,1,90,1,0,0,0,,,,,,,,0,1,,121.0
within an hour,100.0,100.0,0.0,11.0,11.0,1.0,1.0,2,1,6,1,2.0,4.0,1,1125,1,2,0,0,80.0,8.0,8.0,10.0,10.0,8.0,10.0,1,11,0.05,661.0
,,,0.0,1.0,1.0,1.0,0.0,4,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,568.0
a few days or more,0.0,,0.0,1.0,1.0,1.0,1.0,4,2,3,1,1.0,1.0,2,1125,1,0,0,0,,,,,,,,0,1,,91.0
within a day,50.0,0.0,0.0,2.0,2.0,1.0,1.0,5,1,3,1,1.0,2.0,2,5,1,3,0,0,93.0,10.0,9.0,10.0,10.0,9.0,10.0,0,2,0.05,300.0
within an hour,100.0,81.0,0.0,3.0,3.0,1.0,1.0,3,2,2,1,1.0,1.0,1,1125,1,71,7,1,84.0,9.0,8.0,9.0,9.0,9.0,9.0,0,3,1.07,114.0
within a day,50.0,,0.0,1.0,1.0,1.0,0.0,5,1,5,2,2.0,2.0,2,1125,1,2,0,0,80.0,10.0,10.0,10.0,10.0,10.0,8.0,1,1,0.03,2468.0
a few days or more,0.0,,0.0,1.0,1.0,1.0,1.0,4,2,1,1,1.0,2.0,2,1125,1,0,0,0,,,,,,,,0,1,,122.0
a few days or more,0.0,,0.0,1.0,1.0,1.0,1.0,27,2,2,1,1.0,2.0,2,1125,1,0,0,0,,,,,,,,0,1,,730.0
,,,0.0,1.0,1.0,1.0,1.0,2,2,1,1,1.0,1.0,1,60,1,0,0,0,,,,,,,,0,1,,143.0
,,,0.0,1.0,1.0,1.0,0.0,4,2,2,1,1.0,1.0,2,7,1,0,0,0,,,,,,,,0,1,,150.0
,,,0.0,1.0,1.0,1.0,1.0,8,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,80.0
,,,0.0,1.0,1.0,1.0,1.0,5,2,2,1,1.0,1.0,1,1125,1,4,0,0,80.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,0.06,276.0
within an hour,100.0,100.0,0.0,7.0,7.0,1.0,0.0,1,2,2,2,1.0,1.0,2,99,1,7,2,0,71.0,7.0,8.0,7.0,8.0,9.0,7.0,0,8,0.11,143.0
within a few hours,80.0,77.0,0.0,0.0,0.0,1.0,1.0,5,1,3,1,1.0,2.0,3,1125,1,24,5,0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,0.44,514.0
,,100.0,1.0,1.0,1.0,1.0,1.0,1,1,2,1,1.0,4.0,3,30,1,19,1,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.31,476.0
,,,0.0,1.0,1.0,1.0,1.0,2,1,3,1,2.0,2.0,1,1125,1,0,0,0,,,,,,,,0,1,,1207.0
within an hour,100.0,94.0,1.0,7.0,7.0,1.0,1.0,2,2,3,2,1.0,2.0,1,1125,1,6,0,0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,0,7,0.09,428.0
,,,0.0,1.0,1.0,1.0,0.0,3,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,1,1,,200.0
,,,0.0,2.0,2.0,1.0,0.0,2,1,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,2,,476.0
within an hour,100.0,97.0,1.0,2.0,2.0,1.0,1.0,1,1,5,1,2.0,2.0,5,90,1,118,11,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2,2.4,526.0
within a few hours,80.0,100.0,0.0,7.0,7.0,1.0,1.0,2,1,2,1,1.0,1.0,1,1125,1,13,1,0,85.0,9.0,8.0,9.0,9.0,9.0,9.0,1,8,0.21,285.0
,,100.0,0.0,2.0,2.0,1.0,0.0,5,1,2,1,1.0,1.0,1,8,1,15,0,0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1,0.23,428.0
,,,0.0,1.0,1.0,1.0,0.0,3,2,2,1,1.0,1.0,1,1125,1,1,0,0,,,,,,,,0,1,0.02,8000.0
a few days or more,0.0,,0.0,1.0,1.0,1.0,0.0,5,1,6,2,2.0,5.0,3,1125,1,0,0,0,,,,,,,,0,1,,805.0
within an hour,97.0,94.0,0.0,4.0,4.0,1.0,1.0,1,1,7,1,3.0,4.0,1,1125,1,57,2,1,88.0,9.0,10.0,10.0,10.0,8.0,9.0,0,4,0.86,314.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,2.0,1,90,1,2,0,0,100.0,10.0,8.0,10.0,10.0,10.0,9.0,1,67,0.03,238.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,90,1,248,6,0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,1,67,3.8,204.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,500,1,14,0,0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,1,67,0.22,136.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,120,1,37,0,0,89.0,9.0,9.0,10.0,10.0,10.0,9.0,1,67,0.56,136.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,365,1,41,1,0,90.0,9.0,9.0,10.0,10.0,10.0,10.0,1,67,0.62,144.0
within an hour,100.0,100.0,0.0,7.0,7.0,1.0,0.0,1,2,2,2,1.0,2.0,2,150,1,1,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,8,1.0,143.0
within an hour,98.0,100.0,0.0,69.0,69.0,1.0,1.0,3,3,2,1,1.0,1.0,1,500,1,4,0,0,65.0,7.0,8.0,7.0,8.0,8.0,6.0,1,67,0.1,136.0
within an hour,100.0,100.0,0.0,7.0,7.0,1.0,0.0,1,2,1,2,1.0,1.0,2,99,1,10,2,2,78.0,7.0,8.0,9.0,8.0,8.0,8.0,1,8,0.15,86.0
within an hour,100.0,100.0,1.0,2.0,2.0,1.0,1.0,6,1,6,1,3.0,5.0,90,1125,1,34,2,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2,0.51,529.0
,,,0.0,1.0,1.0,1.0,0.0,4,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,850.0
within a few hours,100.0,0.0,0.0,1.0,1.0,1.0,0.0,17,2,2,1,1.0,2.0,1,1125,1,0,0,0,,,,,,,,0,1,,90.0
within an hour,100.0,100.0,0.0,9.0,9.0,1.0,1.0,3,2,6,3,3.0,3.0,2,1125,1,0,0,0,,,,,,,,1,8,,488.0
within an hour,100.0,100.0,0.0,4.0,4.0,1.0,1.0,2,2,2,2,1.0,1.0,1,1125,1,78,0,0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,1,3,1.17,241.0
within a few hours,80.0,100.0,0.0,7.0,7.0,1.0,1.0,2,1,3,1,1.0,1.0,1,1125,1,13,2,0,87.0,9.0,9.0,9.0,9.0,9.0,9.0,1,8,0.21,419.0
,,,0.0,3.0,3.0,1.0,0.0,2,1,8,1,2.0,4.0,5,1125,1,0,0,0,,,,,,,,0,3,,1285.0
within an hour,97.0,72.0,1.0,2.0,2.0,1.0,1.0,23,1,3,1,1.0,3.0,1,1125,1,65,13,2,94.0,10.0,9.0,10.0,10.0,10.0,10.0,0,3,0.98,309.0
within an hour,100.0,100.0,1.0,11.0,11.0,1.0,1.0,1,1,6,2,2.0,3.0,2,60,1,50,12,3,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,13,0.93,514.0
within a day,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,3,1,1.0,2.0,5,30,1,10,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.16,333.0
,,,0.0,2.0,2.0,1.0,0.0,5,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,2,,402.0
a few days or more,20.0,29.0,0.0,4.0,4.0,1.0,0.0,1,1,4,1,2.0,4.0,1,1125,1,20,0,0,96.0,9.0,9.0,10.0,10.0,10.0,9.0,0,4,0.32,495.0
,,,0.0,1.0,1.0,1.0,0.0,3,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,140.0
,,,0.0,1.0,1.0,1.0,0.0,6,1,4,2,3.0,2.0,3,30,1,0,0,0,,,,,,,,0,1,,428.0
within an hour,100.0,100.0,0.0,1.0,1.0,1.0,1.0,2,1,8,2,3.0,2.0,4,1125,1,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2,0.08,684.0
,,,0.0,1.0,1.0,1.0,0.0,2,1,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,761.0
,,100.0,0.0,1.0,1.0,1.0,1.0,1,2,2,1,1.0,1.0,2,1125,1,25,4,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.73,280.0
,,,0.0,1.0,1.0,1.0,1.0,4,2,2,1,1.0,1.0,1,1125,1,6,0,0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.09,154.0
,,100.0,0.0,1.0,1.0,1.0,1.0,5,1,4,1,2.0,3.0,3,1125,1,12,3,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0.18,644.0
,,,0.0,1.0,1.0,1.0,0.0,1,4,4,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,322.0
,,,0.0,1.0,1.0,1.0,0.0,4,2,1,1,1.0,1.0,6,30,1,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0.02,190.0
within an hour,100.0,79.0,1.0,1.0,1.0,1.0,0.0,36,1,3,1,1.0,3.0,7,1125,1,22,3,0,94.0,10.0,9.0,10.0,10.0,9.0,10.0,1,1,0.35,200.0
,,,0.0,2.0,2.0,1.0,0.0,1,2,4,1,2.0,3.0,2,1125,1,0,0,0,,,,,,,,1,1,,504.0
a few days or more,0.0,,0.0,2.0,2.0,1.0,1.0,2,1,5,2,3.0,3.0,1,1125,1,1,0,0,80.0,8.0,6.0,8.0,10.0,10.0,10.0,0,2,0.03,1360.0
a few days or more,0.0,13.0,0.0,14.0,14.0,1.0,1.0,1,1,4,1,1.0,1.0,1,1125,1,1,0,0,20.0,2.0,2.0,2.0,2.0,4.0,2.0,0,20,0.04,408.0
,,,0.0,1.0,1.0,1.0,0.0,9,2,1,1,1.0,2.0,7,1125,1,0,0,0,,,,,,,,0,1,,481.0
within an hour,100.0,100.0,1.0,4.0,4.0,1.0,0.0,3,2,2,1,1.0,1.0,2,1125,1,41,3,0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,4,0.64,238.0
,,0.0,0.0,1.0,1.0,1.0,1.0,16,2,2,1,1.0,1.0,2,10,1,1,0,0,,,,,,,,0,1,0.02,100.0
,,,0.0,1.0,1.0,1.0,0.0,4,2,2,1,1.0,1.0,3,1125,1,0,0,0,,,,,,,,1,1,,390.0
,,,0.0,1.0,1.0,1.0,0.0,1,1,6,1,1.0,2.0,1,1125,1,0,0,0,,,,,,,,0,1,,1288.0
,,,0.0,1.0,1.0,1.0,1.0,8,2,3,1,1.0,2.0,1,180,1,0,0,0,,,,,,,,0,1,,204.0
within a day,50.0,0.0,0.0,1.0,1.0,1.0,1.0,2,1,2,1,1.0,1.0,3,1125,1,3,0,0,93.0,10.0,10.0,10.0,10.0,9.0,10.0,0,1,0.05,303.0
,,,0.0,0.0,0.0,1.0,0.0,4,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,125.0
,,,0.0,1.0,1.0,1.0,1.0,8,2,2,1,1.0,1.0,15,60,1,0,0,0,,,,,,,,0,1,,230.0
,,,0.0,2.0,2.0,1.0,0.0,6,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,2,,100.0
a few days or more,0.0,100.0,0.0,3.0,3.0,1.0,1.0,3,2,2,1,1.0,2.0,1,365,1,70,0,0,86.0,8.0,9.0,9.0,10.0,9.0,9.0,1,3,1.07,343.0
within an hour,100.0,97.0,1.0,11.0,11.0,1.0,1.0,1,1,3,1,1.0,3.0,2,1125,1,28,0,0,92.0,9.0,10.0,10.0,10.0,9.0,10.0,1,11,0.43,352.0
within an hour,94.0,96.0,1.0,3.0,3.0,1.0,1.0,1,1,3,1,,2.0,1,1125,1,2,0,0,80.0,6.0,10.0,9.0,8.0,9.0,8.0,0,7,0.03,604.0
,,,0.0,2.0,2.0,1.0,0.0,12,1,5,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,1,2,,180.0
,,,0.0,1.0,1.0,1.0,0.0,2,1,5,2,3.0,3.0,1,1125,1,0,0,0,,,,,,,,0,1,,1427.0
within an hour,100.0,,0.0,6.0,6.0,1.0,1.0,1,2,1,1,1.0,1.0,1,1125,1,28,0,0,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0,7,0.42,252.0
within an hour,94.0,96.0,1.0,3.0,3.0,1.0,1.0,1,1,2,1,,1.0,1,1125,1,5,0,0,92.0,9.0,8.0,9.0,10.0,9.0,10.0,0,7,0.08,563.0
,,,0.0,1.0,1.0,1.0,0.0,5,2,2,1,1.0,1.0,2,1125,1,0,0,0,,,,,,,,0,1,,238.0
,,,0.0,5.0,5.0,1.0,1.0,3,3,4,1,1.0,2.0,1,1125,1,0,0,0,,,,,,,,1,6,,571.0
,,,0.0,5.0,5.0,1.0,1.0,3,3,8,1,3.0,4.0,2,1125,1,4,0,0,40.0,3.0,5.0,5.0,6.0,7.0,3.0,1,6,0.1,952.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,161.0
within an hour,97.0,72.0,1.0,2.0,2.0,1.0,1.0,23,1,3,2,1.0,2.0,1,1125,1,26,10,1,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3,0.4,309.0
within a few hours,100.0,63.0,0.0,1.0,1.0,1.0,1.0,4,2,2,2,1.0,1.0,2,1125,1,3,3,1,93.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1,0.31,80.0
,,,0.0,1.0,1.0,1.0,0.0,3,2,2,1,1.0,1.0,1,1125,1,1,0,0,,,,,,,,0,1,0.03,563.0
,,,0.0,1.0,1.0,1.0,0.0,2,2,1,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,371.0
,,,0.0,3.0,3.0,1.0,0.0,3,2,4,1,1.0,4.0,1,1125,1,0,0,0,,,,,,,,0,3,,942.0
,,,0.0,3.0,3.0,1.0,0.0,3,2,3,1,1.0,3.0,1,1125,1,0,0,0,,,,,,,,0,3,,847.0
,,,0.0,3.0,3.0,1.0,0.0,3,2,2,1,1.0,2.0,1,1125,1,0,0,0,,,,,,,,0,3,,619.0
within an hour,100.0,100.0,0.0,18.0,18.0,1.0,1.0,3,1,5,1,2.0,3.0,2,1125,1,17,4,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,17,0.52,272.0
